template_id,segment_id,slot_num,performance_label,best_window,best_ctr,best_engagement,posterior_mean,suppressed
TPL_0001,AI-Powered Learners,1,GOOD,late_afternoon,0.6484,0.8644,0.5833,False
TPL_0002,AI-Powered Learners,2,GOOD,late_afternoon,0.5604,0.7647,0.5833,False
TPL_0003,AI-Powered Learners,3,GOOD,late_afternoon,0.4945,0.6,0.5833,False
TPL_0004,AI-Powered Learners,4,GOOD,late_afternoon,0.4396,0.575,0.5833,False
TPL_0005,AI-Powered Learners,5,GOOD,late_afternoon,0.3077,0.4643,0.5833,False
TPL_0006,At-Risk Trialists,1,GOOD,afternoon,0.4891,0.4179,0.5278,False
TPL_0007,At-Risk Trialists,2,NEUTRAL,afternoon,0.4307,0.3559,0.5,False
TPL_0008,At-Risk Trialists,3,NEUTRAL,afternoon,0.3577,0.3061,0.5,False
TPL_0009,At-Risk Trialists,4,NEUTRAL,afternoon,0.2628,0.25,0.5,False
TPL_0010,At-Risk Trialists,5,NEUTRAL,afternoon,0.2263,0.1935,0.4722,False
TPL_0011,Community Builders,1,GOOD,evening,0.65,0.6897,0.5833,False
TPL_0012,Community Builders,2,GOOD,night,0.6341,0.7692,0.5833,False
TPL_0013,Community Builders,3,GOOD,night,0.6098,0.66,0.5833,False
TPL_0014,Community Builders,4,GOOD,night,0.4024,0.5455,0.5278,False
TPL_0015,Community Builders,5,GOOD,night,0.3537,0.4138,0.5278,False
TPL_0016,Core Curriculum Users,1,GOOD,late_afternoon,0.6452,0.9,0.5556,False
TPL_0017,Core Curriculum Users,2,GOOD,late_afternoon,0.6129,0.7368,0.5556,False
TPL_0018,Core Curriculum Users,3,GOOD,late_afternoon,0.4839,0.6,0.5556,False
TPL_0019,Core Curriculum Users,4,GOOD,late_afternoon,0.4194,0.4615,0.5556,False
TPL_0020,Core Curriculum Users,5,GOOD,late_afternoon,0.3548,0.4545,0.5556,False
TPL_0021,Dormant Users,1,NEUTRAL,early_morning,0.1504,0.2353,0.4722,False
TPL_0022,Dormant Users,2,NEUTRAL,afternoon,0.1136,0.2,0.4444,False
TPL_0023,Dormant Users,3,NEUTRAL,evening,0.1138,0.2143,0.4722,False
TPL_0024,Dormant Users,4,NEUTRAL,afternoon,0.1136,0.2,0.4444,False
TPL_0025,Dormant Users,5,SUPPRESSED,evening,0.048,0.125,0.3889,True
TPL_0026,Flight-Risk Subscribers,1,GOOD,night,0.537,0.6377,0.6111,False
TPL_0027,Flight-Risk Subscribers,2,GOOD,evening,0.4753,0.5693,0.6111,False
TPL_0028,Flight-Risk Subscribers,3,GOOD,night,0.3658,0.4468,0.5833,False
TPL_0029,Flight-Risk Subscribers,4,GOOD,afternoon,0.3333,0.4286,0.5556,False
TPL_0030,Flight-Risk Subscribers,5,GOOD,night,0.249,0.3125,0.5278,False
TPL_0031,Gamified Competitors,1,GOOD,late_afternoon,0.65,0.8788,0.5833,False
TPL_0032,Gamified Competitors,2,GOOD,late_afternoon,0.5545,0.7321,0.5833,False
TPL_0033,Gamified Competitors,3,GOOD,late_afternoon,0.5149,0.5769,0.5833,False
TPL_0034,Gamified Competitors,4,GOOD,late_afternoon,0.4059,0.5854,0.5833,False
TPL_0035,Gamified Competitors,5,GOOD,late_afternoon,0.3762,0.4737,0.5556,False
TPL_0036,High-Intent Trialists,1,GOOD,night,0.631,0.4717,0.5556,False
TPL_0037,High-Intent Trialists,2,NEUTRAL,mid_morning,0.4853,0.3333,0.5,False
TPL_0038,High-Intent Trialists,3,NEUTRAL,night,0.4643,0.359,0.5,False
TPL_0039,High-Intent Trialists,4,NEUTRAL,night,0.3929,0.303,0.5,False
TPL_0040,High-Intent Trialists,5,NEUTRAL,night,0.2857,0.2083,0.5,False
TPL_0041,Lost Customers,1,NEUTRAL,afternoon,0.2105,0.25,0.4722,False
TPL_0042,Lost Customers,2,NEUTRAL,afternoon,0.1579,0.1667,0.5,False
TPL_0043,Lost Customers,3,NEUTRAL,mid_morning,0.1139,0.1667,0.4722,False
TPL_0044,Lost Customers,4,NEUTRAL,mid_morning,0.1203,0.1579,0.4167,False
TPL_0045,Lost Customers,5,SUPPRESSED,afternoon,0.048,0.005,0.3889,True
TPL_0046,Slipping Subscribers,1,GOOD,evening,0.6482,0.6589,0.5833,False
TPL_0047,Slipping Subscribers,2,GOOD,evening,0.5729,0.6228,0.5833,False
TPL_0048,Slipping Subscribers,3,GOOD,evening,0.5276,0.4571,0.5833,False
TPL_0049,Slipping Subscribers,4,NEUTRAL,evening,0.4121,0.378,0.5,False
TPL_0050,Slipping Subscribers,5,NEUTRAL,evening,0.3467,0.2754,0.5,False
